ITEMS,cost,level,tag,shop_tag
honey_drop,3,0,food,kut
leaf,1,0,food,kut
shroom,2,0,food,kut
berry_juice,7,0,food,kut
berry,2,0,food,kut
shaved_ice,3,0,food,kut
water,2,0,food,kut
mistake,0,0,food,none
big_mistake,0,0,food,none
leaf_honey,8,0,food,kut
leaf_salad,8,0,food,kut
mushroom_salad,7,0,food,kut
cold_salad,7,1,food,kut
cooked_shroom,5,2,food,kut
roasted_berries,5,3,food,kut
flour_bag,3,4,food,kut
dry_bread,6,5,food,kut
glazed_honey,7,6,food,kut
abomihoney,0,7,food,none
mushroom_gummies,6,8,food,kut
icecream,8,9,food,kut
honey_icecream,14,10,food,kut
aphid_egg,200,0,item,kut
aphid_egg_red,400,1,item,kut
aphid_egg_green,400,1,item,kut
aphid_egg_blue,400,1,item,kut
aphid_egg_yellow,400,1,item,kut
