,en,es
intro_welcome,">Welcome (name), to Aphid Festival Resort!
This is an early version of the game and does not reflect future updates.
>Press Escape to access the [color=red]Help and Controls[/color] information panels!
Otherwise, talk to some of the characters to know more!
>You can check updates at the Itch.io page of the game!
Any feedback is appreciated.",">Bienvenido (name), a Aphid Festival Resort!
Esta es una version temprana del juego y no refleja actualizaciones futuras.
>Presiona Escape para acceder a paneles de informacion sobre [color=red]Ayuda y Controles[/color]!
O conversa con los personjes para saber más!
>Puedes encontrar actualizaciones en la pagina de Itch.io del juego!
Cualquier feedback es agradecido."
joy_welcome_0,">Hello!(...) You are (name), right? Come on in!(...)
I'll give you a quick tour around!",">Hola!(...) Tu tienes que ser (name), ¿no? Adelante!(...)
Te dare un paseo!"
joy_welcome_1,">Here it is. The aphid resort!(...)
So,(...) what do you think?
>It's not a lot, but you can go ahead and play around it!(...)
As a premium member, it is your right to do so, after all.
>Here in the kitchen you can turn ingredients into full course meals if you want
your aphids to grow even stronger!
>To the side we have the lobby! 
Here you can check on the latest changes we do, exchange aphids with other guests
and even send them to needed jobs and get a cut out of it.
>The owner is not around for the moment but be sure to say hello if
you see him! Otherwise, we have plenty of guests you can interact with.
>That over there is the resort's shop, you can use your berries to buy supplies and toys
for the little ones!
>We would also offer hats but... those have not reached us yet(...)
Sorry for the incoveniences.
>Well! If you need me, I'll be just here on watch duty!(...)
Don't be afraid to talk to any of us if you need help with something(...)
They may even know a few things about aphids!",">Y aqui esta, el complejo de áfidos!
Agradable, ¿no?
>No es mucho... ¡pero puedes arreglar cosas a tu gusto!"
joy_flavor_0,">Quite a cozy place, isn’t it (name)?(...)
It’s such a joy to work as a keeper for the lil buddies. (...)
[wave amp=50.0 freq=5.0 connected=1]They even let me have my own one![/wave]
>Her name is Crystal.(...) Isn't she a cutie? 
>Just wished more bugs came along to visit...(...)
Apart from festival times, it gets pretty quiet around here.(...)
>Speaking of, I think that is coming pretty soon!(...[0.5])
hopefully...",">Un lugar agradable, no es así (name)?(...)
Me encanta trabajar de cuidadora para los pequeñines.(...)
[wave amp=50.0 freq=5.0 connected=1]Incluso me dejan tener el mió propio! [/wave]
>Su nombre es Cristal(...), a que es una ternura!
>Solo desearia que más bichos se pasasen por aquí...(...)
Aparte de en tiempos de festival, este lugar es bastante silencioso.
>Hablando de aquello, creo que esta por llegar!(...[0.5])
espero..."
joy_flavor_1,">They are still filling the resort with all sorts of wonders(...)
So sorry for all the mess of boxes! They won't let me touch them.
>I don't know why either, that moth at the gate told me not to.
>When I got nearby one, they just gave me a death stare(...)
So I stay away from them ever since...",">Todavia estan llenando el complejo con todo tipo de artilugios(...)
Asi que lo siento por el monton de cajas! No me dejan tocarlas.
>Yo tampoco lo se, aquella polilla en la entrada me dijo que no podia.
>Cuando me acerque a una, me devolvio una mirada asesina(...)
Desde entonces no me acerco..."
joy_flavor_2,">Aphid breeding has been on the rise lately.(...)
Towns outside the Golden Settlement are requiring more and more aphids for all sorts of things.(...)
Makes me wonder why...
>You can pay a visit to the lobby to know more!
Wheter that is selling some to them, or just for a quick job.",">La crianza de afidos ha estado en la alza utlimamente.(...)
Pueblos fuera del Asentamiento estan necesitando cada vez más y más áfidos para usos diversos. (...)
Me pregunto el motivo...
>Puedes pasarte por el lobby para saber más!
Ya seá para vender unos cuantos, o para un encargo rápido."
joy_flavor_3,">Remember to treat your Aphids with respect!
They need love and care if you want them to grow big and strong.",">Recuerda tratar tus Áfidos con amor y cariño!
Necesitaran de todo el cuidado del mundo si quieres verlos crecer
grandes y fuertes."
joy_flavor_4,">Did you know how much personality can a single Aphid have?
(...)Well now you'll do!
>Surely, you have seen each one act different than others?(...)
Aphids have all sorts of little unique traits that make them so unique!
>[wave amp=25.0 freq=5.0 connected=1]I spend so much time just watching them go...[/wave](...)
I wonder what they are saying?",">¿Sabes cuanta personalidad puede un áfido tener?
(...)Bueno, ¡ahora lo sabras!
>De seguro, ¿No habras visto como cada uno actua diferente que los otros?(...)
¡Los áfidos tienen todo tipo de rasgos que los hacen tan unicos!
>[wave amp=25.0 freq=5.0 connected=1]Paso mucho tiempo verlos ir y venir...[/wave](...)
¿Me pregunto de que hablaran?"
joy_flavor_5,">Mmh...(...)
Oh, sorry, didn't see you there!
>I tune out a little too much, too often.(...)
I really like to take in the air...",">Mmh...(...)
Oh perdona, no te vi llegar!
>A veces se me va mucho el pensamiento.(...)
Realmente me gusta disfrutar el tiempo..."
azzy_flavor_0,">(name)! Hello, Hello!
If you need anything, I have it right here!
And if I don't, maybe later. 
>Except, weapons, they do not allow me to sell you darts
Not like you need them anyways!",">(name)! Hey, Hey!
Si necesitas algo, lo tengo aqui mismo!
Y si no... pues puede que luego.
>Excepto armas, no me permiten venderte dardos.
No es lo que necesites de todos modos!"
