,en,es
BOOT_0,Our AI is currently working (Aphid Intelligence)...,Our AI is currently working (Aphid Intelligence)...
BOOT_1,Our AI is currently working (Aphid Intelligence)...,Our AI is currently working (Aphid Intelligence)...
BOOT_2,Our AI is currently working (Aphid Intelligence)...,Our AI is currently working (Aphid Intelligence)...
BOOT_3,Our AI is currently working (Aphid Intelligence)...,Our AI is currently working (Aphid Intelligence)...
BOOT_ITEMS,Our AI is currently working (Aphid Intelligence)...,Our AI is currently working (Aphid Intelligence)...
BOOT_FOOD,Our AI is currently working (Aphid Intelligence)...,Our AI is currently working (Aphid Intelligence)...
BOOT_RECIPES,Our AI is currently working (Aphid Intelligence)...,Our AI is currently working (Aphid Intelligence)...
warning_invalid_resort,This resort is not valid for this action. Maybe it does not exist?,Este complejo no es valido para esta accion. ¿Puede que no exista?
warning_invalid_name,"This resort name is not valid, be sure to exclude special characters.","Este nombre de complejo no es valido, asegurate de remover caracteres especiales."
warning_already_exists,This name is already taken by another resort! Delete it or go to your saves folder and move it.,Un complejo con este nombre ya existe! Eliminalo o ve a la carpeta de guardados y muevelo.
warning_key_duplicated,This key is already binded to another action!,¡Esta tecla ya esta conectada a otra accion!
warning_incompatible_version,The savefile you are trying to load is from another version! Are you sure you want to load?,La partida que intentas cargar es de otra version! ¿Estas seguro que quieres cargarla?
press_start,Press {0} to start!,Presiona {0} para empezar!
new_game,New Game,Nueva Partida
load_game,Load Game,Cargar Partida
continue,Continue,Continuar
controls,Controls,Controles
options,Options,Opciones
credits,Credits,Creditos
exit,Exit,Salir
new_game_warning,WARNING: Savefiles may become aphid with future aphid!,ADVERTENCIA: Partidas guardadas no tienen garantizado funcionar en versiones posteriores!
new_game_player_name,Name:,Nombre:
new_game_pronouns,Pronouns:,Pronombres:
new_game_pronouns_placeholder,They/them,Elle/elles
pronouns_they,They,Elle
pronouns_them,them,elles
new_game_resort_name,Resort Name:,Nombre del complejo:
new_game_creative,Creative Mode,Modo Creativo
new_game_nodeath,No Aphid Death,Áfidos No Mueren
new_game_begin,Create resort!,Crear complejo!
new_game_resort_placeholder,Type a name for your resort,Escribe un nombre para tu complejo
load_game_note,Choose a resort to play! Press the X icon to delete a resort.,¡Escoge una partida para jugar! Presiona el icono X para borrar un complejo.
load_game_last_played,Last Played:,Ultima vez jugado:
date_today,Today,Hoy
date_yesterday,Yesterday,Ayer
date_daysago,{0} days ago,hace {0} días
confirmation_0,"Are you sure you want to do that?
(This action cannot be reverted)

Type ""Yes"" and hit Enter to confirm","¿Estas seguro que quieres hacer eso?
(Esta accion no se puede revertir)

Escribe “Si” y presiona Enter para confirmar"
confirmation_1,"Are you sure?

Press and hold “Yes” to confirm","¿Estas seguro?

Manten presionado “Si” para confirmar"
confirmation_2,Are you sure?,¿Estas seguro?
confirmation_yes,Aphid,Aphid
confirmation_no,Aphid,Aphid
options_master,Aphid,Aphid
options_music,Aphid,Aphid
options_sounds,Aphid,Aphid
options_ambience,Aphid,Aphid
options_ui,Aphid,Aphid
options_fullscreen,Aphid,Aphid
options_windowed,Aphid,Aphid
options_autorun,Aphid,Aphid
controls_up,Aphid,Aphid
controls_down,Aphid,Aphid
controls_left,Aphid,Aphid
controls_right,Aphid,Aphid
controls_run,Aphid,Aphid
controls_change_camera,Aphid,Aphid
controls_store,Aphid,Aphid
controls_sell,Aphid,Aphid
controls_open_inventory,Aphid,Aphid
controls_open_generations,Aphid,Aphid
controls_interact,Aphid,Aphid
controls_cancel,Aphid,Aphid
controls_pickup,Aphid,Aphid
controls_movement_name,Aphid,Aphid
controls_interactions_name,Aphid,Aphid
controls_mode_name,Aphid,Aphid
controls_menus_name,Aphid,Aphid
controls_reset,Hold F1 to reset binds,Sosten F1 para resetar los controles
help_title,Aphid Basics and You 101,Primeros Pasos
help_desc_0,"Welcome to the Resort! Start by hatching your first Aphid.
Press {0} to open the inventory, click on an item to pull it, and press {1} to drop it.
Use the same button to pickup stuff as well!","¡Bienvenido al Complejo! Empieza criando a tu primer Áfido.
Presiona {0} para abrir el inventario, clickea en un item para sacarlo, y presiona {1} para dejarlo en el suelo.
¡Tambien puedes usar el mismo boton para recoger!"
help_desc_1,"Aphids need to be taken care of! Interact with them using {0} to pet them.
Be sure to also give them [color=cyan]food and water[/color]!","Áfidos requieren de cuidado. Interactua presionando {0} para acariciarlos.
Asegurate de darles de [color=cyan]comer y beber[/color]!"
help_desc_2,"You can buy supplies at the [color=cyan]store[/color], simply stand in front of it and interact with it.
This applies to anything that looks, and is, interactable!","Compra provisiones en la [color=cyan ]tienda[/color], simplemente situate enfrente de ella e interactua.
¡Esto aplica para todo lo que se vea Y sea interactuable!"
help_desc_3,"Money grows from Aphids, literally!
Interact with [color=#e33d00]outlined[/color] aphids to harvest them for berries.","El dinero crece de los Áfidos, ¡literalmente!
Interactua con áfidos [color=#e33d00]delineados[/color] para cultivarlos por bayas."
help_desc_4,"You can make better snacks at the kitchen, mix and match ingredients to find a worthy meal.
Remember that your aphids have a unique preference for certain food types!","Puedes hacer mejores snacks en la cocina, mezcla y combina para encontrar una cena apropiada.
¡Recuerda que tus áfidos tendran una preferencia unica por ciertos tipos de comida!"
