,en,es
honey_drop_name,Honey Drop,Gota de Miel
honey_drop_desc,Sweet drop of honey produced by the Bee Kingdom.,Dulce gota de miel producida por el Reino de las Abejas.
leaf_name,Crunchy Leaf,Hoja Crujiente
leaf_desc,"A dry leaf, good for a snack but could be better.","Una hoja seca, un buen snack pero se podria combinar con algo más."
shroom_name,Mushroom,Hongo
shroom_desc,"A sour, chewwy shroom that is better cooked.","Un hongo agrio y gomoso, cocinado es preferible."
spicy_berry_name,Spicy Berry,Baya Picante
spicy_berry_desc,"A blazing hot berry, increases strength, at a stamina cost.","Una baya ardiente de sabor, aumenta la fuerza, pero reduce el aguante."
water_name,Clear Water,Agua Fresca
water_desc,"A drop of fresh rain water, for when you feel thirsty.","Una gota de lluvia fresca, para cuando te encuentras sediento."
shaved_ice_name,Shaved Ice,Hielo Granizado
shaved_ice_desc,"A cone of shaved ice, its not icecream, but it is refreshing!","Un cono de hielo granizado, es solo agua congelada, pero todavia refresca! "
berry_juice_name,Berry Juice,Jugo de Baya
berry_juice_desc,A refreshing drink made of locally grown berries.,Una bebida refrescante hecha con bayas de los campos dorados.
mistake_name,Mistake,Decepción
mistake_desc,"Perfectly good ingredients, gone to waste. Who would want this?!",Ingredientes de calidad a la basura. ¡¿Quién comeria esto?!
big_mistake_name,Big Mistake,Mega Decepción
big_mistake_desc,"Please, stop.","Porfavor, para."
aphid_egg_name,Aphid Egg,Huevo de Afido
aphid_egg_desc,"A standard aphid egg, they soon after grow into a tiny lil Aphid.",Un huevo común de Áfido. De aquí crece un pequeñin.
aphid_egg_red_name,Red Aphid Egg,Huevo Rojo de Afido
aphid_egg_red_desc,"A red aphid egg, they soon after grow into a tiny lil Aphid.",Un huevo rojo de Áfido. De aquí crece un pequeñin.
aphid_egg_blue_name,Blue Aphid Egg,Huevo Azul de Afido
aphid_egg_blue_desc,"A blue aphid egg, they soon after grow into a tiny lil Aphid.",Un huevo azul de Áfido. De aquí crece un pequeñin.
aphid_egg_green_name,Green Aphid Egg,Huevo Verde de Afido
aphid_egg_green_desc,"A green aphid egg, they soon after grow into a tiny lil Aphid.",Un huevo verde de Áfido. De aquí crece un pequeñin.
aphid_egg_yellow_name,Yellow Aphid Egg,Huevo Amarillo de Afido
aphid_egg_yellow_desc,"A yellow aphid egg, they soon after grow into a tiny lil Aphid.",Un huevo amarillo de Áfido. De aquí crece un pequeñin.
